,Unnamed: 0,Unnamed: 0.1,date,hour,tweet,linea,estacion,polarity
309,309,309,06-nov-19,23:34:43,"La red de #MICDMX permitirá el acceso con bicis 🚇🚎
@MetroCDMX y @MetrobusCDMX  a partir de las 17:00
@STE_CDMX a partir de las 18:00
@ecobici dará el doble de tiempo. Si aún no están inscritos, el 8 y 9 podrán registrarse y al recoger su membresía recibirán un llavero de regalo https://t.co/dXQLwIa1Sh",,,1
310,310,310,06-nov-19,23:36:46,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
311,311,311,07-nov-19,0:28:39,@MetroCDMX Parada línea 9 en Lazaro Cárdenas,linea9,Lazaro Lazaro Lazaro ,1
315,315,315,07-nov-19,0:29:44,"@MetroCDMX Totalmente falso, línea 9 parada",linea9,,0
316,316,316,07-nov-19,0:29:57,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
319,319,319,07-nov-19,0:33:45,"Oye @MetroCDMX este Niño viaja solo en el sistema y empuja a la gente, se sentó el piso, patentado personas #l9 centro médico dirección Pantitlán https://t.co/f6jkoQYnY3",linea9,centro centro ,0
321,321,321,07-nov-19,0:35:06,"Personal de Protección Civil y Seguridad Institucional del @MetroCDMX rescató hoy al medio día a un can atrapado en el exterior del cajón de vías de la estación Nopalera, en el tramo elevado de la Línea 12.

#UnoNoticias https://t.co/MCdbNQl4ii",linea12 ,Nopalera ,0
322,322,322,07-nov-19,0:35:46,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos?",,,1
323,323,323,07-nov-19,0:36:01,@MetroCDMX Hola la linea 7 dirección el rosario que tal esta?,linea7,rosario rosario ,0
324,324,324,07-nov-19,0:36:07,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
326,326,326,07-nov-19,0:36:53,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
327,327,327,07-nov-19,0:37:31,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
328,328,328,07-nov-19,0:38:36,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
329,329,329,07-nov-19,0:38:59,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
330,330,330,07-nov-19,0:39:06,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
331,331,331,07-nov-19,0:39:14,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
334,334,334,07-nov-19,0:40:29,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
337,337,337,07-nov-19,0:41:23,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
338,338,338,07-nov-19,0:41:55,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
341,341,341,07-nov-19,0:42:52,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
342,342,342,07-nov-19,0:42:57,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
345,345,345,07-nov-19,0:43:38,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
346,346,346,07-nov-19,0:43:48,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
348,348,348,07-nov-19,0:48:29,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
351,351,351,07-nov-19,0:49:30,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
353,353,353,07-nov-19,0:50:27,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
355,355,355,07-nov-19,0:50:46,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
356,356,356,07-nov-19,0:51:24,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
358,358,358,07-nov-19,0:52:21,"@MetroCDMX Gerardo Luevano Jefe de estación Polanco, perdón déspota y prepotente, cambiarlo por  favor",linea7 ,Polanco ,1
360,360,360,07-nov-19,0:53:28,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
361,361,361,07-nov-19,0:53:40,"@MetroCDMX @VlankaVera @metrosinambu Que pasa en Tacubaya, 10 minutos y no llega el tren, mientras, hay más y más gente",linea1 ,Tacubaya Tacubaya Tacubaya ,0
363,363,363,07-nov-19,0:54:05,"@MetroCDMX hay tres personas en la línea 5, dirección Pantitlán tomando y pidiendo dinero. Estan amedrentando a los usuarios para que les demos dinero. Vamos camino a Oceanía, en último vagón. ¿De qué se trata? ¿Que les demos lo que nos cuesta mucho ganar?",linea5,pantitlan pantitlan pantitlan pantitlan ,1
365,365,365,07-nov-19,0:54:22,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
368,368,368,07-nov-19,0:55:34,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
371,371,371,07-nov-19,0:56:02,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
374,374,374,07-nov-19,0:57:09,@MetroCDMX Alguien sabe cómo va línea 1?,linea1,,1
377,377,377,07-nov-19,0:58:45,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
378,378,378,07-nov-19,0:59:13,@MonserrathAndr9 @MetroCDMX Avanza normal,linea2 ,normal ,1
379,379,379,07-nov-19,0:59:23,"Personal de Protección Civil y Seguridad Institucional del @MetroCDMX rescató hoy al medio día a un can atrapado en el exterior del cajón de vías de la estación Nopalera, en el tramo elevado de la Línea 12.

#UnoNoticias https://t.co/MCdbNQl4ii",linea12 ,Nopalera ,0
381,381,381,07-nov-19,1:00:09,@MetroCDMX el vagón de la línea verde 3397. El ventilador solo hace un ruido muy ensordecedor y no funciona,linea8,,0
383,383,383,07-nov-19,1:01:24,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
386,386,386,07-nov-19,1:02:30,@MetroCDMX gracias por apurar el servicio en verdad que una mujer embarazada no puede controlar las necesidades que una tiene y viajo hasta potrero si hubiera baño pues que vayan lento pero gracias por apurar el servicio así dan ganas de apoyarlos siempre,linea3 ,potrero ,1
387,387,387,07-nov-19,1:03:28,@MetroCDMX diario miles de personas tienen que subir escaleras pra cruzar del otro lado del andén en la estación Mixcoac... URGE QUE HABILITEN OTRAS ESCALERAS. Hoy terminaron a golpes los usuarios y todos los días hay enfrentamientos que nos ponen en riesgo. https://t.co/riTChtoUrT,linea12 ,Mixcoac ,0
388,388,388,07-nov-19,1:04:08,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
389,389,389,07-nov-19,1:04:47,@MetroCDMX La línea 3 es un asco! ¿Qué pasa? Se va parando en cada estación,linea3,,0
390,390,390,07-nov-19,1:05:12,"@MetroCDMX #l3 mas de 6 min por estacion, cual es el pretexto del dia para no trabajar @MetroCDMX ??? Presencia de lluvia, ausencia de lluvia, mecanismos de cierre, modos de conduccion, el conductor viene ebrio, el conductor se viene tocando sus partes??????",linea3,,0
392,392,392,07-nov-19,1:06:51,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
397,397,397,07-nov-19,1:09:06,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
398,398,398,07-nov-19,1:09:46,"@metroCdmxL3 @MetroCDMX #L3 @UsuariosSTC 
20 min de M.A de Quevedo a Etiopía. Hace muchas pausas en los túneles y en las estaciones. Vagón lleno",linea3,Quevedo ,0
400,400,400,07-nov-19,1:10:00,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
401,401,401,07-nov-19,1:10:01,"Y ayer se quisieron jalar a dos chavas en pleno paradero del @MetroCDMX Indios Verdes a las 6:30 de la noche. Y no, no eres paranoica.",linea3 ,Indios Verdes ,1
402,402,402,07-nov-19,1:10:15,"@metroCdmxL3 @MetroCDMX #L3 @UsuariosSTC 
20 min de M.A de Quevedo a Etiopía. Hace muchas pausas en los túneles y en las estaciones. Vagón lleno",linea3,Quevedo ,0
403,403,403,07-nov-19,1:10:46,"@MetroCDMX Línea B dirección Ciudad azteca..
Estación guerrero.. 
está tardando en pasar los andenes...
Y se están llenando rápido..!! 😡",linea3 ,guerrero guerrero ,0
404,404,404,07-nov-19,1:11:41,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
405,405,405,07-nov-19,1:11:52,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
408,408,408,07-nov-19,1:12:17,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
409,409,409,07-nov-19,1:13:30,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
412,412,412,07-nov-19,1:14:04,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
413,413,413,07-nov-19,1:14:20,"@MetroCDMX AHÍ SIGUEN LOS BOCINEROS DE LÍNEA 4 SE SUBEN EN CANDELARIA DIRECCIÓN SANTA ANITA, SU HORARIO SIMRPRE ES EN LA TARDE 2:30PM NO HAY SEGURIDAD INSTITUCIONAL Y MENOS AUXILIAR https://t.co/nSJlKHu56M",linea4,CANDELARIA CANDELARIA SANTA ANITA ,1
414,414,414,07-nov-19,1:14:21,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
418,418,418,07-nov-19,1:14:43,@MetroCDMXQuejas @MetroCDMX Penúltimo vagón #L9 se bajo en chabacano,linea9,chabacano chabacano ,0
420,420,420,07-nov-19,1:14:55,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
421,421,421,07-nov-19,1:14:57,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
422,422,422,07-nov-19,1:15:00,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
426,426,426,07-nov-19,1:16:03,"@MetroCDMX Cero y van 3 convoyes sin poder abordar, con todo, enviaron convoy vacío. Estación Coyoacán  dirección Indios Verdes https://t.co/gpLCDxWif5",linea3,Indios Verdes ,1
427,427,427,07-nov-19,1:17:51,"@MetroCDMX  hay un hombre en el vagón de mujeres, en la línea 3 dirección indios verdes, y ya pasamos tres estaciones y no hay ni un solo policía ....",linea3,indios verdes ,0
428,428,428,07-nov-19,1:18:29,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
431,431,431,07-nov-19,1:19:38,@MetroCDMX hay unos fulanos llamados vagoneros que están fumando marihuana en metro panteones dirección cuatro caminos. Por donde están las esculturas . Y ya se subieron al tren dirección cuatro caminos van y vienen en el tren,linea2 ,panteones cuatro cuatro caminos ,0
432,432,432,07-nov-19,1:19:44,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
433,433,433,07-nov-19,1:19:53,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
435,435,435,07-nov-19,1:20:26,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
436,436,436,07-nov-19,1:20:35,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
437,437,437,07-nov-19,1:20:50,@MetroCDMX También cheque Santa Martha y la línea que va al Estado de México la paz está muy insegura y llena de asaltos y drogadictos en los vagones,linea4 ,Santa paz ,1
438,438,438,07-nov-19,1:20:54,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
439,439,439,07-nov-19,1:21:03,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
441,441,441,07-nov-19,1:21:09,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
444,444,444,07-nov-19,1:21:43,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
446,446,446,07-nov-19,1:22:10,@MetroCDMX @dogazalu @Claudiashein @SSP_CDMX Sus recorridos son imaginarios solo posan para la foto en estos momentos estan los vagoneros en todo su esplendor vagón R.3851 saliendo de Cuatro Caminos,linea2 ,Cuatro Caminos ,1
447,447,447,07-nov-19,1:22:51,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
449,449,449,07-nov-19,1:25:09,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
450,450,450,07-nov-19,1:25:22,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
451,451,451,07-nov-19,1:25:31,@Claudiashein @MetroCDMX @SSPCMexico De nuevo un acceso a mujeres y niños bloqueado en metro Tacubaya. Exhortandoles que en caso de siniestro se nos bloquea a los usuarios una salida de emergencia. Espero respondan y una pronta solución. Por qué nunca lo hacen. @lopezobrador_ https://t.co/leVenw9M9J,linea3 ,niños ,0
452,452,452,07-nov-19,1:25:58,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
454,454,454,07-nov-19,1:26:42,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
455,455,455,07-nov-19,1:28:10,@MetroCDMX @dogazalu @Claudiashein @SSP_CDMX Sus recorridos son imaginarios solo posan para la foto en estos momentos estan los vagoneros en todo su esplendor vagón R.3851 saliendo de Cuatro Caminos,linea2 ,Cuatro Caminos ,1
456,456,456,07-nov-19,1:30:37,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea12,cuatro Nopalera ,1
458,458,458,07-nov-19,1:31:46,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
459,459,459,07-nov-19,1:32:44,"@MARIA70392235 @MetroCDMX No sólo eso, yo tome el tren en Juárez dirección indios verdes y se está tardando demasíado en cerrar las puertas, además de que se están subiendo demasiados vendedores, agrega el calor y olores 🤢",linea3 ,indios verdes ,0
461,461,461,07-nov-19,1:33:07,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
462,462,462,07-nov-19,1:33:13,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
463,463,463,07-nov-19,1:33:38,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
464,464,464,07-nov-19,1:33:44,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
465,465,465,07-nov-19,1:33:45,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
467,467,467,07-nov-19,1:34:09,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
468,468,468,07-nov-19,1:34:15,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
470,470,470,07-nov-19,1:35:12,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
471,471,471,07-nov-19,1:35:28,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
473,473,473,07-nov-19,1:35:36,@MetroCDMX #L3 no está lloviendo porque tan lento llevamos 10 min en el túnel,linea3,,0
474,474,474,07-nov-19,1:36:14,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
476,476,476,07-nov-19,1:37:23,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
477,477,477,07-nov-19,1:38:12,@MetroCDMX Alguien sabe como va la línea 9?,linea9,,1
479,479,479,07-nov-19,1:38:20,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
480,480,480,07-nov-19,1:38:35,@MetroCDMX En chabacano esta hasta el gorro no se puede subir al tren,linea8 ,chabacano chabacano ,0
484,484,484,07-nov-19,1:40:21,@MetroCDMX Detenida #L3,linea3,,0
485,485,485,07-nov-19,1:40:50,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
486,486,486,07-nov-19,1:40:56,@MetroCDMX ¿Qué pasa en pantitlan Linea A? Esta saturado hasta los transbordes,linea1 ,pantitlan pantitlan pantitlan pantitlan ,1
487,487,487,07-nov-19,1:41:27,"@MetroCDMX Hola, buenas noches.
¿Podría hacer algo con respecto a las personas que se suben por el lado que no corresponde?
Estoy en el metro Universidad y se me hace injusto, tanto para los demás usuarios que sí respetamos las reglas al momento de abordar.

De antemano, gracias. https://t.co/xXeVkvWhvh",linea3 ,Universidad ,1
490,490,490,07-nov-19,1:42:40,"@MetroCDMX Línea B metro Garibaldi a Morelos, tiempo de trayecto 20 minutos.",linea4 ,Morelos Garibaldi Morelos ,1
492,492,492,07-nov-19,1:42:57,"Hagan algo, no inventen 
Está full la estación del @MetroCDMX #Chabacano",linea8 ,Chabacano Chabacano ,0
494,494,494,07-nov-19,1:43:04,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
495,495,495,07-nov-19,1:43:44,"Si asistes al Paseo Nocturno en Bicicleta este 9 de noviembre ¡te tenemos una buena noticia!

🔸Accede al @MetroCDMX con tu bici a partir de las 17:00 h hasta finalizar el servicio

🔸Accede a @MetrobusCDMX todo el día, a excepción de 12:00 a 17:00 h

Excelente servicio⭐⭐⭐⭐⭐ https://t.co/S8xczsgyzI",,,1
496,496,496,07-nov-19,1:43:47,@MetroCDMX Alguien sabe cómo está línea 9 en Tacubaya,linea9,Tacubaya Tacubaya Tacubaya ,1
497,497,497,07-nov-19,1:44:04,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
499,499,499,07-nov-19,1:44:29,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
500,500,500,07-nov-19,1:45:01,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
501,501,501,07-nov-19,1:45:25,"@MetroCDMX ⚠️⚠️Aviso #LineaB para no decepcionar hasta la mad....(Dirección Ciudad Azteca ) Y con marcha lentísima; intervalo entre trenes 5 min, sumenle que siempre hay usuarios que no entienden que la mochila en los vagones viaja abajo y no en la espalda ⚠️⚠️",linea5,,1
503,503,503,07-nov-19,1:46:03,@MetroCDMX Como va la linea 1,linea1,,0
504,504,504,07-nov-19,1:46:56,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
505,505,505,07-nov-19,1:47:14,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
506,506,506,07-nov-19,1:47:58,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
508,508,508,07-nov-19,1:48:31,"A 8 metros de altura, trabajadores del @MetroCDMX realizan el rescate de un can en tramo de la Línea 12 https://t.co/yBDwm3htOU https://t.co/YHYuiJ3sLB",linea12,,0
510,510,510,07-nov-19,1:48:51,"En su bonita sección ""No todos los héroes llevan capa"" 

Estos trabajadores rescataron a un perrito que ya llevaba cuatro días atrapado en las instalaciones del  @MetroCDMX #Nopalera en la línea 12. Un gran trabajo. https://t.co/y7mL9YyDsV",linea2 ,cuatro Nopalera ,1
517,517,517,07-nov-19,1:52:08,"Personal de las áreas de @CNPC_MX del @MetroCDMX rescataron a un can que se encontraba atrapado en las vías de la estación Nopalera, en la Línea 12. 🦮🚇
https://t.co/wdfRAwSqyD",linea12 ,Nopalera ,1
518,518,518,07-nov-19,1:52:58,"Pues que los niños se paren más temprano, ¿O también quiere que vayamos a levantarlos? https://t.co/9ZAOMSlhWv",,,1
