,Unnamed: 0,Unnamed: 0.1,date,hour,tweet,linea,estacion,polarity
58,58,58,07-nov-19,21:33:37,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",linea1,Tacubaya Tacubaya Tacubaya ,0
60,60,60,07-nov-19,21:34:28,"Esas taquilleras del @MetroCDMX de pantitlan en #Linea9 te mandan a la chingada a diestra y siniestra, solo por que están detrás de un vidrio se sienten intocables @Claudiashein un ojito a tus empleados",linea9,pantitlan pantitlan pantitlan pantitlan ,1
63,63,63,07-nov-19,21:35:04,@MetroCDMX Se sube un hombre mayor al vagon exclusivo de la línea 2. Le pido que se baje y me dice que el ya sabe que no debe estar ahí pero que si PUEDE. Busque oficiales en todas las estaciones y hubo uno hasta San Antonio Abad otro hombre con chaleco naranja.,linea2,Antonio Abad ,0
65,65,65,07-nov-19,21:35:09,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",linea1,Tacubaya Tacubaya Tacubaya ,0
66,66,66,07-nov-19,21:35:34,"Damitas usuarias del metro, si exigimos respeto, tengan tantita madre y demuestren que ustedes también pueden darlo! @MetroCDMX #metrocdmx #l3",linea3,,1
71,71,71,07-nov-19,21:37:07,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",linea1,Tacubaya Tacubaya Tacubaya ,0
75,75,75,07-nov-19,21:38:50,"@MetroCDMX
¿Están haciendo ascenso/descenso en la estación Chabacano L9 en la parte de enmedio los trenes?
Metro M0348 lo abrió puertas dirección Tacubaya.",linea9,Tacubaya Tacubaya Chabacano Chabacano Tacubaya ,0
77,77,77,07-nov-19,21:41:17,"@MetroCDMX #Linea3 dirección indios verdes.
Tres personas van tomando alcohol y aventando basura a las vías por la ventana. ¿Qué procede? https://t.co/UoC8axvUQq",linea3,indios ,0
78,78,78,07-nov-19,21:41:26,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
84,84,84,07-nov-19,21:42:58,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
85,85,85,07-nov-19,21:43:35,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",linea2,,0
86,86,86,07-nov-19,21:44:04,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
88,88,88,07-nov-19,21:45:53,"Hoy @GoodbyeSailor en el @MetroCDMX a las 3:30 pm, los vemos en la estación COPILCO para armar un fiestón. https://t.co/3sFKksZWMV",linea3,COPILCO ,0
89,89,89,07-nov-19,21:46:23,Porque la línea 3 del @MetroCDMX es tan nefasta ????,linea3,,0
92,92,92,07-nov-19,21:46:53,"¡Recuerda! La nueva Tarjeta de Movilidad Integrada de la ciudad tiene un costo de 5 pesos en taquillas del @MetroCDMX.

Más información 👉 https://t.co/iFn9miLPpf

#UnaCiudadUnSistema | #MásYMejorMovilidad https://t.co/4uOygoK4Co",linea5,,1
94,94,94,07-nov-19,21:49:02,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",linea2,,0
95,95,95,07-nov-19,21:49:03,@MetroCDMX Qué pasa en la Línea 3? Se para en cada estación más de 5 minutos 😡,linea3,,0
97,97,97,07-nov-19,21:51:49,"@MetroCDMX Esa linea3 no avanza, vamos",linea3 ,,1
99,99,99,07-nov-19,21:53:31,😑😑😑 no se mueve el metro en Balderas @MetroCDMX  atsilioooo,linea1 ,Balderas Balderas ,0
101,101,101,07-nov-19,21:55:12,@MetroCDMX Si mencionen que pasó en la línea 3  ya lleva más de 10 minutos detenido el metro!!! @MetroCDMX,linea3,,0
102,102,102,07-nov-19,21:55:37,"@MetroCDMX que pasa en la l3 super lento, y ahora no llueve ñ, cual es el pretexto",linea3,,0
105,105,105,07-nov-19,21:56:22,"@MetroCDMX A ver, la hora en la que me levanté a ti no te interesa, por lo que estoy inconforme es por el servicio ineficiente que tenemos  en el sistema metro,  a que me refiero diario hay una falla se atreven a poner 4 min. De retraso cuando en la estación esperas 15, no seas ridículo",linea4,,0
117,117,117,07-nov-19,22:04:50,@MetroCDMX hombres en el vagon de mujeres estacion chabacano tren M0513,linea8 ,chabacano chabacano ,0
118,118,118,07-nov-19,22:05:13,"@LeoFlores0730 @MetroCDMX Viene con retrasos,parando cómo 5 minutos o más en cada estación",linea5,,1
122,122,122,07-nov-19,22:07:47,@MetroCDMX vagón 1429 linea 7 con esa tapa abierta puede ocasionar un accidente https://t.co/Ntul1OnNDW,linea7,,0
123,123,123,07-nov-19,22:08:55,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
131,131,131,07-nov-19,22:13:00,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
133,133,133,07-nov-19,22:17:20,"Éste piano es muy particular...
Se encuentra en la estación del @MetroCDMX Polanco, y se puede oír cada que pasa la gente, al transitar sobre las escaleras.
Además ayuda a fomentar el ejercicio diario. https://t.co/fAmGK7RMBg",linea7 ,Polanco ,0
136,136,136,07-nov-19,22:19:44,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",linea2,,0
137,137,137,07-nov-19,22:20:01,"@MetroCDMX Gracias. 
Pero, se agradece más, manteniendo a los trenes, vías e instalaciones, en metro Juárez casi obscuro, en metro Hidalgo las escaleras eléctricas sin servir, de metro azteca a metro aragon requiere ⛑ pintura y pintar los logotipos de las salidas y entradas, etc",linea2 ,Hidalgo Hidalgo aragon ,0
138,138,138,07-nov-19,22:21:04,"¡Recuerda! La nueva Tarjeta de Movilidad Integrada de la ciudad tiene un costo de 5 pesos en taquillas del @MetroCDMX.

Más información 👉 https://t.co/iFn9miLPpf

#UnaCiudadUnSistema | #MásYMejorMovilidad https://t.co/4uOygoK4Co",linea5,,1
140,140,140,07-nov-19,22:21:49,"Oye @MetroCDMX porque la mayoría de sus taquilleras están de malas, acabo de comprar un boleto en la estación escuadrón 201 dirección garibaldi, y atienden de un modo pésimo, literal te avienta los boletos y el cambio. #HAZALGOMETROCDMX",linea8 ,garibaldi ,0
142,142,142,07-nov-19,22:26:38,"Éste piano es muy particular...
Se encuentra en la estación del @MetroCDMX Polanco, y se puede oír cada que pasa la gente, al transitar sobre las escaleras.
Además ayuda a fomentar el ejercicio diario. https://t.co/fAmGK7RMBg",linea7 ,Polanco ,0
152,152,152,07-nov-19,22:37:11,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
155,155,155,07-nov-19,22:38:50,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",linea2,,0
161,161,161,07-nov-19,22:44:11,"El conductor del tren del metro del vagón 2088. Toca el timbre de cierre de puertas e inmediatamente cierra las puertas quedando personas atrapadas en las mismas @MetroCDMX yo voy en este vagón y me lesionó mi pierna. 
@claudiashe dirección Pantitlán. 4:25 pm",linea4,,0
162,162,162,07-nov-19,22:45:48,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin ,1
166,166,166,07-nov-19,22:46:53,"¡Recuerda! La nueva Tarjeta de Movilidad Integrada de la ciudad tiene un costo de 5 pesos en taquillas del @MetroCDMX.

Más información 👉 https://t.co/iFn9miLPpf

#UnaCiudadUnSistema | #MásYMejorMovilidad https://t.co/4uOygoK4Co",linea5,,1
169,169,169,07-nov-19,22:48:19,@MetroCDMX #Linea2 Vagon 2211 se viene meneando https://t.co/ofbbXCYcSq,linea2,,1
171,171,171,07-nov-19,22:49:46,@MetroCDMX @Hackaqa Otra en #Linea2 https://t.co/42EUsKwaSv,linea2,,1
180,180,180,07-nov-19,22:57:49,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
181,181,181,07-nov-19,22:59:32,@MetroCDMX #Linea3 tomando y tirando basura alas vias luego porque hay retrasos https://t.co/8LeTmrXBSD,linea3,,0
191,191,191,07-nov-19,23:11:29,"La diputada @espevillal solicita a la @SGIRPC_CDMX, @MetroCDMX, @SOBSECDMX, realicen las diligencias pertinentes para dictaminar el estado de las escalinatas de acceso a la estación del metro Peñón Viejo y determinar si son seguras y proyecte su rehabilitación o reconstrucción. https://t.co/vAM1EPevOi",lineaa,Viejo ,0
193,193,193,06-nov-19,22:06:45,@2ruedasdiario @MetroCDMX Usa el de la #Linea12,linea12,,0
195,195,195,06-nov-19,22:08:35,#HéroesSinCapa | Rescatan a perrito en el @MetroCDMX Nopalera; llevaba 4 días atrapado 😲 ➡️ https://t.co/UMtu1MoUPH https://t.co/XwgH9KJiwL,linea4,Nopalera ,1
197,197,197,06-nov-19,22:09:55,"@MetroCDMX Ambulantes en la #Linea2 como siempre @Claudiashein 

#Cortesia @briandlcbrown https://t.co/vltb4zwITM",linea2,,1
201,201,201,06-nov-19,22:12:59,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
203,203,203,06-nov-19,22:13:08,"@MetroCDMXQuejas @SSP_CDMX @MetroCDMX Los PBI de la estación Zapata están coludidos con los que ""bolsean"" me detuvieron a mi siendo yo la víctima y me golpearon todo el trayecto de Zapata a Guerrero",linea3 ,Zapata Zapata Guerrero Guerrero Zapata Zapata ,0
